Plot,Number,Spp,LiveDead,Diam,DecayClass,HeightClass,Cones,MortalityCause1,MortalityCause2,MortalityCause3,DMR,BranchesBole,PreviousCurrent,PerDeadCrown,Easting,Northing,Cored,Misc
DES1014240,55,Pimo,D,20,1,5,,IPS,RWB,,,Both,Previous,100,451620.27,4373525.784,,
DES1014240,56,Juos,L,12,,2,,,,,0,,,10,451616.27,4373521.784,,
DES1014240,57,Juos,L,12,,2,,,,,0,,,20,451620.27,4373521.784,,
DES1014240,58,Pimo,D,22,1,4,,IPS,,,,Both,Previous,100,451622.27,4373525.784,,
DES1014240,59,Pimo,D,24,1,5,,IPS,RWB,,,Both,Previous,100,451623.27,4373525.784,,
DES1014240,60,Pimo,L,9,,2,0,,,MT,2,,,30,451622.27,4373520.784,,Scar on bole
DES1014360,1,Pimo,L,21,,4,0,IPS,RWB,,0,Branches,Previous,40,451680.838,4373639.868,,RTB bole
DES1014360,2,Pimo,L,13,,2,0,IPS,RWB,,0,Both,Previous,75,451682.838,4373642.868,,
DES1014360,3,Pimo,L,36,,5,1,,RWB,,0,Branches,Previous,10,451687.838,4373641.868,,Cankers
DES1014360,4,Pimo,L,29,,5,1,IPS,RWB,MT,3,Branches,Previous,5,451693.838,4373647.868,,
DES1014360,5,Pimo,L,13,,2,0,,RWB,,0,Branches,Previous,35,451686.838,4373646.868,,"RTB, Pitch bole"
DES1014360,6,Pimo,D,12,1,2,,IPS,,,,Both,Previous,100,451684.838,4373644.868,,Cankers
DES1014360,7,Pimo,L,13,,4,0,,,MT,4,,,20,451688.838,4373647.868,,
DES1014360,8,Juos,L,34,,4,,,,MT,2,,,10,451688.838,4373647.868,,
DES1014360,9,Pimo,L,27,,5,0,,RWB,MT,3,Branches,Previous,5,451682.838,4373643.868,,
DES1014360,10,Pimo,D,13,2,2,,IPS,RWB,,,Both,Previous,100,451680.838,4373641.868,,
DES1014360,11,Pimo,D,28,1,5,,IPS,RWB,MT,,Both,Previous,100,451670.838,4373650.868,,Conchs
DES1014360,12,Pimo,L,20,,5,1,,RWB,MT,3,Branches,Previous,20,451668.838,4373650.868,,
DES1014360,13,Juos,L,15,,4,,,,,0,,,15,451677.838,4373643.868,,
DES1014360,14,Pimo,L,27,,5,0,,,M,3,,,10,451676.838,4373641.868,,Cankers
DES1014360,15,Pimo,L,11,,3,0,,,,0,,,10,451677.838,4373641.868,,
DES1014360,16,Pimo,L,16,,4,0,IPS,RWB,MT,2,Branches,Previous,20,451674.838,4373639.868,,
DES1014360,17,Juos,L,32,,6,,,,MT,3,,,15,451667.838,4373643.868,,
DES1014360,18,Pimo,L,31,,5,0,IPS,RWB,,0,Branches,Previous,55,451666.838,4373641.868,,
DES1014360,19,Pimo,L,17,,5,0,,RWB,,0,Branches,Previous,0,451663.838,4373639.868,,
DES1014360,20,Pimo,L,31,,5,1,IPS,RWB,MT,2,Branches,Previous,5,451663.838,4373637.868,,
DES1014360,21,Pimo,L,12,,2,0,,,,0,,,5,451666.838,4373634.868,,
DES1014360,22,Pimo,L,43,,6,1,IPS,RWB,MT,3,Branches,Previous,5,451672.838,4373637.868,,
DES1014360,23,Pimo,L,12,,3,0,,,,0,,,20,451674.838,4373637.868,,Scar
DES1014360,24,Pimo,L,14,,3,0,IPS,RWB,,0,Branches,Previous,35,451675.838,4373637.868,,
DES1014360,25,Juos,L,28,,5,,,,MT,4,,,15,451670.838,4373628.868,,
DES1014360,26,Pimo,L,42,,6,0,IPS,RWB,,0,Branches,Previous,50,451670.838,4373628.868,,RTB Ble
DES1014360,27,Pimo,L,12,,4,0,,,,0,,,10,451672.838,4373630.868,,RTB Ble
DES1014360,28,Pimo,D,12,1,3,,,RWB,,,Both,Previous,100,451670.838,4373626.868,,Cankers
DES1014360,29,Pimo,L,13,,3,0,,,,0,,,5,451672.838,4373624.868,,Scar
DES1014360,30,Pimo,D,33,1,5,,IPS,RWB,,,Both,Previous,100,451674.838,4373626.868,,"Pitchy, Conchs"
DES1014360,31,Pimo,L,32,,6,1,IPS,RWB,,0,Branches,Previous,10,451673.838,4373629.868,,
DES1014360,32,Pimo,L,32,,5,1,,RWB,,0,Branches,Previous,5,451679.838,4373631.868,,
DES1014360,33,Pimo,L,15,,4,0,,,,0,,,20,451680.838,4373630.868,,
DES1014360,34,Pimo,L,24,,5,1,,RWB,,0,Branches,Previous,20,451682.838,4373628.868,,Pitchy bole
DES1014360,35,Pimo,L,29,,5,0,,RWB,,0,Branches,Previous,45,451681.838,4373626.868,,Pitchy bole
DES1014360,36,Pimo,L,23,,5,0,,,,0,,,5,451687.838,4373627.868,,Pitchy bole
DES1014360,37,Pimo,L,23,,4,0,IPS,RWB,,0,Branches,Previous,15,451691.838,4373632.868,,
DES1014360,38,Pimo,L,27,,5,0,,,,0,,,10,451692.838,4373634.868,,
DES1014360,39,Pimo,L,10,,3,0,,,,0,,,15,451693.838,4373633.868,,Pitchy
DES1014360,40,Pimo,L,29,,5,0,IPS,RWB,,0,Branches,Previous,20,451686.838,4373636.868,,Cankers
DES105,1,Pimo,D,16,1,5,,IPS,RWB,MT,,Both,Previous,100,443813.018,4371524.403,,
DES105,2,Pimo,D,18,1,4,,IPS,RWB,MT,,Both,Previous,100,443813.018,4371523.403,,
DES105,3,Pimo,D,32,1,6,,IPS,RWB,MT,,Both,Previous,100,443814.018,4371524.403,,
DES105,4,Pimo,D,62,3,6,,,,,,,,100,443819.018,4371526.403,,
